Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
ADF,Array Design Format.,,,FALSE,,File Format,,,,,NCIT:C172213,http://purl.obolibrary.org/obo/NCIT_C172213,C172213,
AVI,AVI Format file format.,,,FALSE,,File Format,,,,,NCIT:C190162,http://purl.obolibrary.org/obo/NCIT_C190162,C190162,
BAI,BAI File file format.,,,FALSE,,File Format,,,,,NCIT:C190163,http://purl.obolibrary.org/obo/NCIT_C190163,C190163,
BAM,Binary Alignment Map file format.,,,FALSE,,File Format,,,,,NCIT:C153249,http://purl.obolibrary.org/obo/NCIT_C153249,C153249,
BAS,BAM statistics file format.,,,FALSE,,File Format,,,,,,,,No defensible ontology match found.
BCR Biotab,BCR Biotab file format.,,,FALSE,,File Format,,,,,NCIT:C190164,http://purl.obolibrary.org/obo/NCIT_C190164,C190164,
BED,BED Format file format.,,,FALSE,,File Format,,,,,EDAM:format_3003,http://edamontology.org/format_3003,,
bedgraph,Bedgraph Format file format.,,,FALSE,,File Format,,,,,NCIT:C190165,http://purl.obolibrary.org/obo/NCIT_C190165,C190165,
BEDPE Format,BEDPE paired-end feature file format.,,,FALSE,,File Format,,,,,NCIT:C184749,http://purl.obolibrary.org/obo/NCIT_C184749,C184749,
bigBed,BigBed file format.,,,FALSE,,File Format,,,,,NCIT:C190166,http://purl.obolibrary.org/obo/NCIT_C190166,C190166,
bigWig,BigWig Format file format.,,,FALSE,,File Format,,,,,NCIT:C190167,http://purl.obolibrary.org/obo/NCIT_C190167,C190167,
Binary Format,The Binary Format file format.,,,FALSE,,File Format,,,,,EDAM:format_2333,http://edamontology.org/format_2333,,
BIOM,Biological Observation Matrix (BIOM) file format.,,,FALSE,,File Format,,,,,NCIT:C190169,http://purl.obolibrary.org/obo/NCIT_C190169,C190169,
cdf,A file that provides information about the probes contained within an Affymetrix expression microarray probe set.,,,FALSE,,File Format,,,,,NCIT:C209894,http://purl.obolibrary.org/obo/NCIT_C209894,C209894,
CEL,Affymetrix CEL Format file format.,,,FALSE,,File Format,,,,,NCIT:C191737,http://purl.obolibrary.org/obo/NCIT_C191737,C191737,
