Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Cryopreserved,,,,FALSE,,Preservation Method,,,,,,,,
Cryopreservation in liquid nitrogen - dead tissue,,,,FALSE,,Preservation Method,,,,,,,,
Cryopreservation in dry ice - dead tissue,,,,FALSE,,Preservation Method,,,,,,,,
Cryopreservation in liquid nitrogen - live cells,,,,FALSE,,Preservation Method,,,,,,,,
Formalin fixed paraffin embedded - FFPE,,,,FALSE,,Preservation Method,,,,,,,,
Formalin fixed-unbuffered,,,,FALSE,,Preservation Method,,,,,,,,
Formalin fixed-buffered,,,,FALSE,,Preservation Method,,,,,,,,
Fresh,,,,FALSE,,Preservation Method,,,,,,,,
Fresh dissociated and single cell sorted into plates in NP40 buffer,,,,FALSE,,Preservation Method,,,,,,,,
OCT,,,,FALSE,,Preservation Method,,,,,,,,
Snap Frozen,,,,FALSE,,Preservation Method,,,,,,,,
Frozen,,,,FALSE,,Preservation Method,,,,,,,,
Negative 80 Deg C,,,,FALSE,,Preservation Method,,,,,,,,
Liquid Nitrogen,,,,FALSE,,Preservation Method,,,,,,,,
Fresh dissociated,,,,FALSE,,Preservation Method,,,,,,,,
Fresh dissociated and single cell sorted,,,,FALSE,,Preservation Method,,,,,,,,
Fresh dissociated and single cell sorted into plates,,,,FALSE,,Preservation Method,,,,,,,,
Methacarn fixed paraffin embedded - MFPE,,,,FALSE,,Preservation Method,,,,,,,,
unknown,,,,FALSE,,Preservation Method,,,,,,,,
Not Reported,,,,FALSE,,Preservation Method,,,,,,,,
