Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
"Abdomen, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Abdominal esophagus,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Accessory sinus, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Acoustic nerve,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Adrenal gland, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Ampulla of Vater,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Anal canal,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Anterior 2/3 of tongue, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Anterior floor of mouth,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Anterior mediastinum,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Anterior surface of epiglottis,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Anterior wall of bladder,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Anterior wall of nasopharynx,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Anus, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Aortic body and other paraganglia,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Appendix,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Ascending colon,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Autonomic nervous system, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Axillary tail of breast,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Base of tongue, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Bladder neck,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Bladder, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Blood,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Body of pancreas,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Body of penis,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Body of stomach,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Bone marrow,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Bone of limb, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Bone, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Bones of skull and face and associated joints,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Border of tongue,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Brain stem,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Brain, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Branchial cleft,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Breast, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Broad ligament,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Cardia, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Carotid body,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cauda equina,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cecum,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Central portion of breast,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Cerebellum, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cerebral meninges,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cerebrum,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cervical esophagus,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cervix uteri,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Choroid,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Ciliary body,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cloacogenic zone,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Colon, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Commissure of lip,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Conjunctiva,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues of abdomen",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues of head, face, and neck",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues of lower limb and hip",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues of pelvis",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues of thorax",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues of trunk, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues of upper limb and shoulder",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Connective, subcutaneous and other soft tissues, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Cornea, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Corpus uteri,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Cortex of adrenal gland,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Cranial nerve, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Craniopharyngeal duct,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Descended testis,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Descending colon,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Dome of bladder,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Dorsal surface of tongue, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Duodenum,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Endocervix,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
"Endocrine gland, NOS",,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Endometrium,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
Epididymis,,,,FALSE,,Site of Resection or Biopsy,,CDS Imaging V1.0,,,,,,
