Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
10-Deacetyltaxol,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
11C Topotecan,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
11D10 AluGel Anti-Idiotype Monoclonal Antibody,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
12-Allyldeoxoartemisinin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
13-Deoxydoxorubicin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
14C BMS-275183,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
17beta-Hydroxysteroid Dehydrogenase Type 5 Inhibitor ASP9521,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Deoxy-D-glucose,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Ethylhydrazide,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Fluoroadenine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Fluorofucose-containing SGN-2FF,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Hydroxyestradiol,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Hydroxyestrone,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Hydroxyflutamide Depot,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Hydroxyoleic Acid,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Methoxyestradiol,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Methoxyestradiol Nanocrystal Colloidal Dispersion,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2-Methoxyestrone,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
"2-O, 3-O Desulfated Heparin",,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
"2,6-Diaminopurine",,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
"2,6-Dimethoxyquinone",,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
2'-F-ara-deoxyuridine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
3'-C-ethynylcytidine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
3'-dA Phosphoramidate NUC-7738,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
4-Nitroestrone 3-Methyl Ether,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
4-Thio-2-deoxycytidine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
4'-Iodo-4'-Deoxydoxorubicin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
5-Aza-4'-thio-2'-deoxycytidine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
5-Fluoro-2-Deoxycytidine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
"6-Phosphofructo-2-kinase/fructose-2,6-bisphosphatases Isoform 3 Inhibitor ACT-PFK-158",,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
7-Cyanoquinocarcinol,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
7-Ethyl-10-Hydroxycamptothecin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
7-Hydroxystaurosporine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
8-Azaguanine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
9-Ethyl 6-Mercaptopurine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
9H-Purine-6Thio-98D,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
A2A Receptor Antagonist EOS100850,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abagovomab,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abarelix,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abemaciclib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abemaciclib Mesylate,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abexinostat,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abexinostat Tosylate,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abiraterone,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abiraterone Acetate,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Abituzumab,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acai Berry Juice,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acalabrutinib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acalisib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aceglatone,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acetylcysteine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acitretin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acivicin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aclacinomycin B,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aclarubicin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acodazole,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acodazole Hydrochloride,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acolbifene Hydrochloride,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acridine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acridine Carboxamide,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acronine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Actinium Ac 225 Lintuzumab,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Actinium Ac 225-FPI-1434,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Actinium Ac-225 Anti-PSMA Monoclonal Antibody J591,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Actinomycin C2,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Actinomycin C3,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Actinomycin F1,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Activin Type 2B Receptor Fc Fusion Protein STM 434,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Acyclic Nucleoside Phosphonate Prodrug ABI-1968,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Ad-RTS-hIL-12,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adagloxad Simolenin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adavosertib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adecatumumab,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenosine A2A Receptor Antagonist AZD4635,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenosine A2A Receptor Antagonist CS3005,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenosine A2A Receptor Antagonist NIR178,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenosine A2A Receptor Antagonist/Phosphodiesterase 10A PBF-999,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenosine A2A/A2B Receptor Antagonist AB928,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenosine A2B Receptor Antagonist PBF-1129,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenovector-transduced AP1903-inducible MyD88/CD40-expressing Autologous PSMA-specific Prostate Cancer Vaccine BPX-201,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenoviral Brachyury Vaccine ETBX-051,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenoviral Cancer Vaccine PF-06936308,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenoviral MUC1 Vaccine ETBX-061,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenoviral PSA Vaccine ETBX-071,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenoviral Transduced hIL-12-expressing Autologous Dendritic Cells INXN-3001 Plus Activator Ligand INXN-1001,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenoviral Tumor-specific Neoantigen Priming Vaccine GAd-209-FSP,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenoviral Tumor-specific Neoantigen Priming Vaccine GRT-C901,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenovirus 5/F35-Human Guanylyl Cyclase C-PADRE,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenovirus Serotype 26-expressing HPV16 Vaccine JNJ-63682918,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenovirus Serotype 26-expressing HPV18 Vaccine JNJ-63682931,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenovirus-expressing TLR5/TLR5 Agonist Nanoformulation M-VM3,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Adenovirus-mediated Human Interleukin-12 INXN-2001 Plus Activator Ligand INXN-1001,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aderbasib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ADH-1,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
AE37 Peptide/GM-CSF Vaccine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
AEE788,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aerosol Gemcitabine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aerosolized Aldesleukin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aerosolized Liposomal Rubitecan,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Afatinib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Afatinib Dimaleate,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Afimoxifene,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Afuresertib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Agatolimod Sodium,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Agerafenib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aglatimagene Besadenovec,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Agonistic Anti-CD40 Monoclonal Antibody ADC-1013,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Agonistic Anti-OX40 Monoclonal Antibody INCAGN01949,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Agonistic Anti-OX40 Monoclonal Antibody MEDI6469,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
AKR1C3-activated Prodrug OBI-3424,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
AKT 1/2 Inhibitor BAY1125976,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
AKT Inhibitor ARQ 092,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Akt Inhibitor LY2780301,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Akt Inhibitor MK2206,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Akt Inhibitor SR13668,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Akt/ERK Inhibitor ONC201,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alacizumab Pegol,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alanosine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Albumin-binding Cisplatin Prodrug BTP-114,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aldesleukin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Aldoxorubicin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alectinib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alefacept,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alemtuzumab,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alestramustine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alflutinib Mesylate,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Algenpantucel-L,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alisertib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alitretinoin,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK Inhibitor,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK Inhibitor ASP3026,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK Inhibitor PLB 1003,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK Inhibitor RO5424802,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK Inhibitor TAE684,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK Inhibitor WX-0593,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK-2 Inhibitor TP-0184,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK-FAK Inhibitor CEP-37440,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK/c-Met Inhibitor TQ-B3139,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK/FAK/Pyk2 Inhibitor CT-707,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK/ROS1/Met Inhibitor TQ-B3101,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
ALK/TRK Inhibitor TSR-011,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Alkotinib,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allodepleted T Cell Immunotherapeutic ATIR101,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-BCMA CAR-transduced T-cells ALLO-715,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-BCMA-CAR T-cells PBCAR269A,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-BCMA/CS1 Bispecific CAR-T Cells,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-CD19 CAR T-cells ALLO-501A,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-CD19 Universal CAR-T Cells CTA101,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-CD19-CAR T-cells PBCAR0191,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-CD20 CAR T-cells LUCAR-20S,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Anti-CD20-CAR T-cells PBCAR20A,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic CD22-specific Universal CAR-expressing T-lymphocytes UCART22,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic CD3- CD19- CD57+ NKG2C+ NK Cells FATE-NK100,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic CD56-positive CD3-negative Natural Killer Cells CYNK-001,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic CD8+ Leukemia-associated Antigens Specific T Cells NEXI-001,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic Cellular Vaccine 1650-G,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic CRISPR-Cas9 Engineered Anti-BCMA T Cells CTX120,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic CRISPR-Cas9 Engineered Anti-CD70 CAR-T Cells CTX130,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic CS1-specific Universal CAR-expressing T-lymphocytes UCARTCS1A,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic GM-CSF-secreting Breast Cancer Vaccine SV-BR-1-GM,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic GM-CSF-secreting Lethally Irradiated Prostate Cancer Vaccine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic GM-CSF-secreting Lethally Irradiated Whole Melanoma Cell Vaccine,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic GM-CSF-secreting Tumor Vaccine PANC 10.05 pcDNA-1/GM-Neo,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic GM-CSF-secreting Tumor Vaccine PANC 6.03 pcDNA-1/GM-Neo,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
Allogeneic IL13-Zetakine/HyTK-Expressing-Glucocorticoid Resistant Cytotoxic T Lymphocytes GRm13Z40-2,,,,FALSE,,Therapeutic Agent,,CDS Imaging V1.0,,,,,,
