Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Gonad,The part of the reproductive system that produces and releases eggs (ovaries) or sperm (testicles/testes).,,,False,,Tissue,,,,"Gonadal, Gonads",,,C12725,Added by Brynn 05/19/2022
Abdominal Esophagus,Clinical esophageal segment composed of smooth muscle. It corresponds to the inferior part of the lower third topographic segment of the esophagus. (NCI),,,False,,Tissue,,ICD-O-3,,"ESOPHAGUS, ABDOMINAL",C15.2,,NCIt,
Adipose Tissue,Connective tissue consisting primarily of adipocytes (fat cells) and supporting structural matrix.,,,False,,Tissue,,ICD-O-3,,"Adipose, Body Fat, Fat Tissue, Human Adipose Tissue",C49.9,,NCIt,
Adrenal Gland,The endocrine glands adjacent to the kidneys that consist of the outer adrenal cortex and the inner adrenal medulla in mammals.,,,False,,Tissue,,,,"suprarenal gland, Adrenal Glands, GLAND, ADRENAL,  adrenal gland, Adrenal, Adrenals",,,C12666,
Alveolus,Tiny air sacs at the end of the bronchioles (tiny branches of air tubes) in the lungs. The alveoli are where the lungs and the bloodstream exchange carbon dioxide and oxygen. Carbon dioxide in the blood passes into the lungs through the alveoli. Oxygen in the lungs passes through the alveoli into the blood.,,,False,,Tissue,,ICD-O-3,,"Bronchial Alveolus, Alveoli, alveoli, Pulmonary Alveolus",C03.9,,NCIt,
Aorta,The major artery of the body; it arises from the left ventricle of the heart and terminally bifurcates into the common iliac arteries.,,,False,,Tissue,,ICD-O-3,,"ARTERY, AORTA, Aortic",C49.3,,NCIt,
Artery,A blood vessel that carries blood from the heart to tissues and organs in the body.,,,False,,Tissue,,ICD-O-3,,Arterial,C49.9,,NCIt,
Ascending Colon,The first part of the colon (large intestine) that starts in the right lower quadrant of the abdomen and ends at the transverse colon in the right upper quadrant of the abdomen. (NCI),,,False,,Tissue,,ICD-O-3,,"COLON, ASCENDING",C18.2,,NCIt,
Bile Duct,"Any of the ducts conveying bile between the liver and the intestine, including hepatic, cystic, and common bile duct.",,,False,,Tissue,,ICD-O-3,,"DUCT, BILE",C24.0,,NCIt,
Bladder,The organ that stores urine.,,,False,,Tissue,,ICD-O-3,,"Urinary Bladder, URINARY BLADDER, Urinary System, Bladder",C67.9,,NCIt,
