Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Abdominal Aorta,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Abdominal Esophagus,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Abdominal Muscle,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Abdominal Skin,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Abdominal Wall,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Abducens Nerve,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Accessory Nerve,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Acetabulum,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Acromioclavicular Joint,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Adipose Tissue,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Adrenal Cortex,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Adrenal Gland,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Adrenal Medulla,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Ampulla of Vater,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anal Canal,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anal Transitional Zone,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Ankle Joint,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Ankle Skin,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Antecubital Region,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anterior Cranial Fossa,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anterior Mediastinum,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anterior Surface of the Epiglottis,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anterior Wall of the Bladder,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anterior Wall of the Nasopharynx,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Antrum Pylori,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Anus,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Aorta,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Aortocaval Lymph Node,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
Apex of the Tongue,,,,FALSE,,Site of Origin,,CDS v5.0.4/Diagnosis-tissue_or_organ_of_origin,,,,,,
