Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
3-Dimensional Conformal Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Allogeneic Hematopoietic Stem Cell Transplantation,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Autologous Stem Cell Transplantation,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Brachytherapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Cellular Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Chemotherapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Concurrent Chemoradiation,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Conventional Radiotherapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Electron Beam Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
External Beam Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
High-Dose Rate Brachytherapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Hormone Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Immunotherapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Intensity-Modulated Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Low-Dose Rate Brachytherapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Not Reported,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Organ Transplantation,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Palliative Care,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Pharmacotherapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Photon Beam Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Proton Beam Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Radiofrequency Ablation,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Radiopharmaceutical,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Stem Cell Transplant,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Stereotactic Body Radiation Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Stereotactic Radiosurgery,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Surgical Procedure,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Targeted Molecular Therapy,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
Unknown,,,,FALSE,,Treatment Type,,CDS v5.0.4/Treatment-treatment_type,,,,,,
