"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"G1","A morphologic qualifier indicating that a cancerous lesion is well differentiated.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C28077","http://purl.obolibrary.org/obo/NCIT_C28077","C28077",""
"G2","A morphologic qualifier indicating that a cancerous lesion is moderately differentiated.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C28078","http://purl.obolibrary.org/obo/NCIT_C28078","C28078",""
"G3","A morphologic qualifier indicating that a cancerous lesion is poorly differentiated.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C28079","http://purl.obolibrary.org/obo/NCIT_C28079","C28079",""
"G4","A morphologic qualifier indicating that a cancerous lesion is undifferentiated.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C28082","http://purl.obolibrary.org/obo/NCIT_C28082","C28082",""
"GX","A morphologic qualifier indicating that the grade of a neoplasm cannot be assessed.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C113730","http://purl.obolibrary.org/obo/NCIT_C113730","C113730",""
"GB","A morphologic qualifier indicating that a neoplasm is of borderline malignancy.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C113729","http://purl.obolibrary.org/obo/NCIT_C113729","C113729",""
"High Grade","A morphologic qualifier indicating that a neoplasm is poorly differentiated or undifferentiated (Grade 3 or Grade 4).","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C14158","http://purl.obolibrary.org/obo/NCIT_C14158","C14158",""
"Intermediate Grade","","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","","","",""
"Low Grade","","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","","","",""
"Unknown","Not known, observed, recorded, or reported as unknown by the data contributor.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C17998","http://purl.obolibrary.org/obo/NCIT_C17998","C17998",""
"Not Reported","Not provided or available.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C43234","http://purl.obolibrary.org/obo/NCIT_C43234","C43234",""
"Not Applicable","Determination of a value is not relevant in the current context.","","","FALSE","","Tumor Grade","","CDS v5.0.4/Diagnosis-tumor_grade","","","NCIT:C48660","http://purl.obolibrary.org/obo/NCIT_C48660","C48660",""
