Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Abdomen NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Abdominal esophagus,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Accessory sinus NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Acoustic nerve,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Adrenal gland NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Ampulla of Vater,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anal canal,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anterior 2/3 of tongue NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anterior floor of mouth,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anterior mediastinum,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anterior surface of epiglottis,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anterior wall of bladder,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anterior wall of nasopharynx,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Anus NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Aortic body and other paraganglia,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Appendix,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Ascending colon,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Autonomic nervous system NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Axillary tail of breast,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Base of tongue NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Bladder neck,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Bladder NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Blood,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Body of pancreas,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Body of penis,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Body of stomach,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Bone marrow,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Bone of limb NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Bone NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Bones of skull and face and associated joints,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Border of tongue,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Brain stem,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Brain NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Branchial cleft,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Breast NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Broad ligament,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cardia NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Carotid body,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cauda equina,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cecum,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Central portion of breast,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cerebellum NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cerebral meninges,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cerebrum,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cervical esophagus,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cervix uteri,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Choroid,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Ciliary body,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cloacogenic zone,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Colon NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Commissure of lip,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Conjunctiva,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues of abdomen,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues of head face and neck,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues of lower limb and hip,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues of pelvis,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues of thorax,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues of trunk NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues of upper limb and shoulder,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Connective subcutaneous and other soft tissues NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cornea NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Corpus uteri,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cortex of adrenal gland,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Cranial nerve NOS,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Craniopharyngeal duct,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
Descended testis,,,,FALSE,,Tissue or Organ of Origin,,,,,,,,
