Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Cutaneous Melanoma,"A primary melanoma arising from atypical melanocytes in the skin.  Precursor lesions include acquired and congenital melanocytic nevi, and dysplastic nevi.  Several histologic variants have been recognized, including superficial spreading melanoma, acral lentiginous melanoma, nodular melanoma, and lentigo maligna melanoma.",,,FALSE,,Tumor Type,,,,"Melanoma of Skin, Malignant Melanoma of Skin, Skin Melanoma, Malignant Melanoma (of Skin), Stage Unspecified, Cutaneous (Skin) Melanoma, CM, Skin, Melanoma, Skin Cutaneous Melanoma, Melanoma of the Skin, Malignant Melanoma of Skin Stage Unspecified, Malignant Cutaneous Melanoma",NCIT:C3510,http://purl.obolibrary.org/obo/NCIT_C3510,C3510,Added by Brynn 5/24/2022
Acinar Cell Carcinoma,A malignant glandular epithelial neoplasm consisting of secretory cells forming acinar patterns. Representative examples include the acinar cell carcinoma of the pancreas and the acinar adenocarcinoma of the prostate gland.,,,FALSE,,Tumor Type,,ICD-O-3,,"Acinar Carcinoma, Acinar adenocarcinoma, Acinar Cell Adenocarcinoma, Acinar carcinoma, Acinic Cell Carcinoma, Acinic Cell Adenocarcinoma, Acinar Adenocarcinoma, Acinic cell adenocarcinoma",NCIT:C3768,http://purl.obolibrary.org/obo/NCIT_C3768,C3768,
Acute Lymphoblastic Leukemia,"Leukemia with an acute onset, characterized by the presence of lymphoblasts in the bone marrow and the peripheral blood. It includes the acute B lymphoblastic leukemia and acute T lymphoblastic leukemia.",,,FALSE,,Tumor Type,,ICD-O-3,,"Precursor Lymphoblasic Leukemia, Acute lymphatic leukemia, Precursor Lymphoblastic Leukemia, Acute Lymphoid Leukemia, Precursor Cell Lymphoblastic Leukemia, Acute Lymphoblastic Leukemia (ALL), Acute lymphoblastic leukemia (ALL), Acute lymphoblastic leukemia, precursor cell type, Lymphoblastic Leukemia, ALL, Acute Lymphogenous Leukemia, ALL - Acute Lymphocytic Leukemia, Acute lymphoid leukemia, Acute Lymphocytic Leukaemia, Acute Lymphocytic Leukemia, ALL_TYPE, Acute Lymphocytic Leukemias, Acute lymphocytic leukemia, acute lymphocytic leukemia",NCIT:C3167,http://purl.obolibrary.org/obo/NCIT_C3167,C3167,
Acute Monocytic Leukemia,"An acute myeloid leukemia in which the majority of monocytic cells are promonocytes.  (WHO, 2001)",,,FALSE,,Tumor Type,,ICD-O-3,,"Monocytic Leukemia, Acute Monocytic Leukemia (Fab M5B), Acute Monocytic Leukemia (FAB M5b)",NCIT:C4861,http://purl.obolibrary.org/obo/NCIT_C4861,C4861,
Acute Myeloid Leukemia,An aggressive (fast-growing) disease in which too many myeloblasts (immature white blood cells that are not lymphoblasts) are found in the bone marrow and blood.,,,FALSE,,Tumor Type,,ICD-O-3,,"Acute myelocytic leukemia, Acute Myeloid Leukemia Not Otherwise Specified, Acute myelogenous leukemia, Acute Myelogenous Leukemia, Acute Nonlymphocytic Leukemia, ANLL, Acute myeloblastic leukemia, AML - Acute Myeloid Leukemia, AML, Acute Myeloid Leukemia (AML), Acute granulocytic leukemia, Hematopoeitic - Acute Myleogenous Leukemia (AML), Acute Myelogenous Leukemias, Acute myeloid leukemia (AML), acute myeloblastic leukemia, acute nonlymphocytic leukemia, acute myelogenous leukemia, Acute Myeloblastic Leukemia, Acute Myelocytic Leukemia, Acute Granulocytic Leukemia",NCIT:C3171,http://purl.obolibrary.org/obo/NCIT_C3171,C3171,
Acute Promyelocytic Leukemia,"An acute myeloid leukemia characterized by the predominance of abnormal promyelocytes, most often driven by translocations involving the retinoic acid receptor-alpha (RARA) gene. Over 95% of cases show the reciprocal balanced translocation t(15;17)(q24.1;q21.2), which fuses the PML and RARA genes.",,,FALSE,,Tumor Type,,ICD-O-3,,Acute Promyelolitic Leukemia,NCIT:C208352,http://purl.obolibrary.org/obo/NCIT_C208352,C208352,
Adenocarcinoma,Cancer that begins in cells that line certain internal organs and that have gland-like (secretory) properties.,,,FALSE,,Tumor Type,,ICD-O-3,,ADENOCARCINOMA,NCIT:C2852,http://purl.obolibrary.org/obo/NCIT_C2852,C2852,
Angiosarcoma,A type of cancer that begins in the cells that line blood vessels.,,,FALSE,,Tumor Type,,ICD-O-3,,"hemangiosarcoma, Malignant Angioendothelioma, Hemangiosarcoma, Malignant Hemangioendothelioma, HEMANGIOSARCOMA, MALIGNANT",NCIT:C3088,http://purl.obolibrary.org/obo/NCIT_C3088,C3088,
Astrocytoma,"A tumor that begins in the brain or spinal cord in small, star-shaped cells called astrocytes.",,,FALSE,,Tumor Type,,ICD-O-3,,Anaplastic Astrocytoma,NCIT:C60781,http://purl.obolibrary.org/obo/NCIT_C60781,C60781,
Atypical Teratoid/Rhabdoid Tumor,"An aggressive malignant embryonal neoplasm arising from the central nervous system. It is composed of cells with a large eccentric nucleus, prominent nucleolus, and abundant cytoplasm. Mutations of the SMARCB1 gene or very rarely SMARCA4 (BRG1) gene are present. The vast majority of cases occur in childhood. Symptoms include lethargy, vomiting, cranial nerve palsy, headache, and hemiplegia.",,,FALSE,,Tumor Type,,,,"Rhabdoid Tumor of Central Nervous System, Malignant Rhabdoid Neoplasm of the Brain, Atypical Teratoid/Rhabdoid Tumor (WHO Grade 4), AT/RT, Primary Malignant Rhabdoid Tumor of the Brain, Malignant Rhabdoid Neoplasm of Brain, Malignant Rhabdoid Tumor of Brain, Central Nervous System Rhabdoid Neoplasm, Primary Malignant Brain Rhabdoid Neoplasm, Rhabdoid Tumor of the Central Nervous System, Malignant Rhabdoid Tumor of the Brain, Central Nervous System Rhabdoid Tumor, Rhabdoid Tumor of CNS, Rhabdoid Tumor of the CNS, CNS Rhabdoid Neoplasm, Malignant Brain Rhabdoid Tumor, Rhabdoid Neoplasm of the CNS, Primary Malignant Brain Rhabdoid Tumor, Atypical Teratoid/Rhabdoid Tumor (WHO Grade IV), CNS Rhabdoid Tumor, Rhabdoid Neoplasm of the Central Nervous System, Malignant Brain Rhabdoid Neoplasm, Primary Malignant Rhabdoid Tumor of Brain, Rhabdoid Neoplasm of CNS, Primary Malignant Rhabdoid Neoplasm of the Brain, Primary Malignant Rhabdoid Neoplasm of Brain, Rhabdoid Neoplasm of Central Nervous System, ATT/RHT",NCIT:C6906,http://purl.obolibrary.org/obo/NCIT_C6906,C6906,Added by Brynn 09-14-2022
