Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
GeoMX Level 0,,,"Component, Filename, File Format, Biospecimen ID, Synapse ID of Data File, Synapse ID of RCC or DCC File, Sequencing Depth, Read Length",FALSE,,,,,
Sequencing Depth,,,,FALSE,,,,,
Read Length,,,,FALSE,,,,,
GeoMX Level 1,,,"Component,Filename,File Format,Biospecimen ID,Synapse ID of File,GeoMx DSP Assay Type,Synapse ID of GeoMx DSP PKC File,Software and Version,GeoMx DSP NGS Sequencing Platform,GeoMx DSP NGS Library Selection Method,GeoMx DSP NGS Library Preparation Kit Name,GeoMx DSP Library Preparation Kit Vendor,GeoMx DSP Library Preparation Kit Version,Synapse ID of GeoMx Lab Worksheet File,Synapse ID of fastq file(s)",FALSE,,,,HTAN,
Filename,,,,TRUE,,,,HTAN,
File Format,,,,TRUE,,,,HTAN,
Biospecimen ID,,,,TRUE,,,,HTAN,
Synapse ID of Data File,,,,TRUE,,,,HTAN,
GeoMx DSP Assay Type,,,,FALSE,,,,HTAN,
Synapse ID of GeoMx DSP PKC File,,,,FALSE,,,,HTAN,
Software and Version,,,,FALSE,,,,HTAN,
GeoMx DSP NGS Sequencing Platform,,,,FALSE,,,,HTAN,
GeoMx DSP NGS Library Selection Method,,,,FALSE,,,,HTAN,
GeoMx DSP NGS Library Preparation Kit Name,,,,FALSE,,,,HTAN,
GeoMx DSP Library Preparation Kit Vendor,,,,FALSE,,,,HTAN,
GeoMx DSP Library Preparation Kit Version,,,,FALSE,,,,HTAN,
Synapse ID of GeoMx Lab Worksheet File,,,,FALSE,,,,HTAN,
Synapse ID of fastq file(s),,,,FALSE,,,,HTAN,
Imaging Level 2,,,"Component,Assay Type,File Format,Filename,Synapse ID of Data File,Biospecimen ID,Synapse ID of Parent Data File,Participant ID,Protocols Link,Software and Version,Workflow Start Date-time,Workflow End Date-time,Channel Metadata Filename,Image Acquisition Date,Microscope,Objective,NominalMagnification,LensNA,WorkingDistance,WorkingDistanceUnit,Immersion,Pyramid,Z-stack,T-series,passed QC,Comment,FOV number,FOVX,FOVXUnit,FOVY,FOVYUnit,Image ID,DimensionOrder,PhysicalSizeX,PhysicalSizeXUnit,PhysicalSizeY,PhysicalSizeYUnit,PhysicalSizeZ,PhysicalSizeZUnit,Pixels BigEndian,PlaneCount,SizeC,SizeT,SizeX,SizeY,SizeZ,Type",FALSE,,,,HTAN,
Assay Type,,,,FALSE,,,,HTAN,
Synapse ID of Parent Data File,,,,FALSE,,,,HTAN,
Participant ID,,,,FALSE,,,,HTAN,
Protocols Link,,,,FALSE,,,,HTAN,
Software and Version,,,,FALSE,,,,HTAN,
Workflow Start Date-time,,,,FALSE,,,,HTAN,
Workflow End Date-time,,,,FALSE,,,,HTAN,
Channel Metadata Filename,,,,FALSE,,,,HTAN,
Image Acquisition Date,,,,FALSE,,,,HTAN,
Microscope,,,,FALSE,,,,HTAN,
Objective,,,,FALSE,,,,HTAN,
NominalMagnification,,,,FALSE,,,,HTAN,
LensNA,,,,FALSE,,,,HTAN,
WorkingDistance,,,,FALSE,,,,HTAN,
WorkingDistanceUnit,,,,FALSE,,,,HTAN,
Immersion,,,,FALSE,,,,HTAN,
Pyramid,,,,FALSE,,,,HTAN,
Z-stack,,,,FALSE,,,,HTAN,
T-series,,,,FALSE,,,,HTAN,
passed QC,,,,FALSE,,,,HTAN,
Comment,,,,FALSE,,,,HTAN,
FOV number,,,,FALSE,,,,HTAN,
FOVX,,,,FALSE,,,,HTAN,
FOVXUnit,,,,FALSE,,,,HTAN,
FOVY,,,,FALSE,,,,HTAN,
FOVYUnit,,,,FALSE,,,,HTAN,
Image ID,,,,FALSE,,,,HTAN,
DimensionOrder,,,,FALSE,,,,HTAN,
PhysicalSizeX,,,,FALSE,,,,HTAN,
PhysicalSizeXUnit,,,,FALSE,,,,HTAN,
PhysicalSizeY,,,,FALSE,,,,HTAN,
PhysicalSizeYUnit,,,,FALSE,,,,HTAN,
PhysicalSizeZ,,,,FALSE,,,,HTAN,
PhysicalSizeZUnit,,,,FALSE,,,,HTAN,
Pixels BigEndian,,,,FALSE,,,,HTAN,
PlaneCount,,,,FALSE,,,,HTAN,
SizeC,,,,FALSE,,,,HTAN,
SizeT,,,,FALSE,,,,HTAN,
SizeX,,,,FALSE,,,,HTAN,
SizeY,,,,FALSE,,,,HTAN,
SizeZ,,,,FALSE,,,,HTAN,
Type,,,,FALSE,,,,HTAN,
GeoMX Level 3,,,"Component,Filename,File Format,Biospecimen ID,Synapse ID of Data File,GeoMx DSP Assay Type,Synapse ID GeoMx ROI Segment Annotation File,GeoMx DSP Unique Probe Count,GeoMx DSP Unique Target Count,Matrix Type,GeoMx DSP Genomic Reference,GeoMx DSP Workflow Type,GeoMx DSP Workflow Parameter Description,GeoMx DSP Workflow Link",FALSE,,,,HTAN,
Synapse ID GeoMx ROI Segment Annotation File,,,,FALSE,,,,HTAN,
GeoMx DSP Unique Probe Count,,,,FALSE,,,,HTAN,
GeoMx DSP Unique Target Count,,,,FALSE,,,,HTAN,
Matrix Type,,,,FALSE,,,,HTAN,
GeoMx DSP Genomic Reference,,,,FALSE,,,,HTAN,
GeoMx DSP Workflow Type,,,,FALSE,,,,HTAN,
GeoMx DSP Workflow Parameter Description,,,,FALSE,,,,HTAN,
GeoMx DSP Workflow Link,,,,FALSE,,,,HTAN,
GeoMX ROI Segment Annotation,,,"Component,Biospecimen ID,Run ID,GeoMx DSP ROI ID,GeoMx DSP Segment ID,Segment Tag,GeoMx DSP ROI X Coordinate,GeoMx DSP ROI Y Coordinate,ROI QC Passed,GeoMx DSP Slide Scan Height,GeoMx DSP Slide Scan Width,Synapse ID of RCC or DCC File,Positive Norm Factor,Surface area,Nuclei count,Tissue Stain",FALSE,,,,HTAN,
Run ID,,,,FALSE,,,,HTAN,
GeoMx DSP ROI ID,,,,FALSE,,,,HTAN,
GeoMx DSP Segment ID,,,,FALSE,,,,HTAN,
Segment Tag,,,,FALSE,,,,HTAN,
GeoMx DSP ROI X Coordinate,,,,FALSE,,,,HTAN,
GeoMx DSP ROI Y Coordinate,,,,FALSE,,,,HTAN,
ROI QC Passed,,,,FALSE,,,,HTAN,
GeoMx DSP Slide Scan Height,,,,FALSE,,,,HTAN,
GeoMx DSP Slide Scan Width,,,,FALSE,,,,HTAN,
Synapse ID of RCC or DCC File,,,,TRUE,,,,HTAN,
Positive Norm Factor,,,,FALSE,,,,HTAN,
Surface area,,,,FALSE,,,,HTAN,
Nuclei count,,,,FALSE,,,,HTAN,
Tissue Stain,,,,FALSE,,,,HTAN,
