Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Study,Studies associated with a grant,,"Study_id, GrantView Key, ProjectView Key, Study dbGaP Accession Id, Study Name, Study Description, Study Investigator, PersonView Key, Study Number of Participants, Study Number of Samples, Study De-identification Method Type, Study De-identification Method Description, Study De-identification Method Software, Study Index Date, Study Project Identifier, Study Data Use Codes",,,,,,,,,True,
Study Name,Name of the study,,,True,CDE:11459810,,string,,,,,,
Study Description,"Description of the study, including the types of experimental assays, model systems, types of analysis, description of cohort, associated vulnerable populations, special categories of data, rare diseases, etc. Maps to DUOplus2.",,,True,CDE:03444002,,string,,,,,,
Study Investigator,Investigator(s) associated with the project. Multiple names should be provided as a comma-separated list.,,,True,,,string_list,,,,,,
Study_id,"Unique row identifier, used as a primary key for record updates.",,,True,"CDE:12960571, primary_key",,string,,,,,,
Study Number of Participants,The number of participant instances associated with systematic investigation into a subject.,,,True,CDE:11555662,,number,,,,,,
Study De-identification Method Type,General description of the de-identification method. Maps to DUOplus3.,"Manual, Semiautomatic, Automatic, Not Applicable",,True,CDE:14576319,,string,,,,,,
Study De-identification Method Description,Description of the process of removing potentially identifying data or data elements to render data into a form that does not identify individuals and where identification is not likely to take place.,,,,,,string,,,,,,
Study De-identification Method Software,Software that was used to de-identify the data (if used),,,,,,string,,,,,,
Study dbGaP Accession Id,A stable unique alphanumeric identifier assigned to a study and any objects by the database of Genotypes and Phenotypes (dbGaP). Required for controlled access data being submitted to CDS/CRDC.,,,,CDE:11524544,,string,,,,,,
Study License,Official or legal permission to do or own a specified thing. Studies with data that will be submitted to CDS are required to provide a license. Maps to DUOplus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2, MIT, GPL_3, BSD_3_Clause",,,CDE:14902606,,string,,,,,,
Study Index Date,"The reference event associated with timepoints in this study. One of Diagnosis Date, Enrollment Date, Collection Date, or Birth Date.","Diagnosis Date , Enrollment Date, Collection Date, Birth Date",,,,,string,,,,,,
Study Project Identifier,The Synapse Project identifier (synID) with which this Study is related.,,,,,,string_list,,syn[0-9]+,,,,
Study Data Use Codes,"DUO code - A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used. Available DUO code definitions can be found here: https://mc2-center.github.io/data-models/valid_values/study/#attribute-study-data-use-codes","Pending Annotation, GRU, PS, GSO, RTN, CC, NMDS, NRES, NPU, DUM, POA, NCU, NPUNCU, NPOA, IRB, HMB, PUB, USE, COL, RST, TSM, MOR, IST, GSR, DSR, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7",,,,,string_list,,,,,,
