Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Tool Accessibility,Whether there are non-monetary restrictions on accessing an online service.,"Open Access, Open Access (With Restrictions), Restricted Access",,,,,string,,,,,,biotoolsschema
Tool Cmd,"Relevant command, command-line fragment, or option for executing this function/running the tool in this mode.",,,,,,string,,,,,,biotoolsschema
Tool Compute Requirements,"Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime).",,,,,,string_list,,,,,,schema.org
Tool Cost,Monetary cost of acquiring the software.,"Commercial, Free of Charge, Free of Charge (With Restrictions)",,,,,string,,,,,,biotoolsschema
Tool Date Last Modified,"The date indicating when the tool's entry was most recently modified or updated, providing a timestamp of the latest changes made to the tool's information.",,,,,,string,date,,,,,schema.org
Tool Description,Textual description of the tool.,,,True,,,string,,,,,,biotoolsschema
Tool Documentation Note,Comment about the documentation.,,,,,,string,,,,,,biotoolsschema
Tool Documentation Type,"Type of documentation that is linked to. Multiple values permitted, comma separated.","API Documentation, Citation Instructions, Code of Conduct, Command-Line Options, Contributions Policy, FAQ, General, Governance, Installation Instructions, Other, Quick Start Guide, Release Notes, Terms of Use, Training Material, User Manual",,,,,string_list,,,,,,biotoolsschema
Tool Documentation Url,Link to documentation on the web for the tool.,,,,,,string,uri,,,,,biotoolsschema
Tool Download Note,Comment about the download.,,,,,,string,,,,,,biotoolsschema
Tool Download Type,"The type of data, information, or system that is obtained when the link is resolved.","API Specification, Binaries, Biological Data, Command-Line Specification, Container File, Downloads Page, Icon, Other, Screenshot, Software Package, Source Code, Test Data, Test Script, Tool Wrapper (CWL), Tool Wrapper (Galaxy), Tool Wrapper (Taverna), Tool wrapper (Other), VM Image",,,,,string,,,,,,biotoolsschema
Tool Download Url,Link to download (or repo providing a download) for the software.,,,,,,string,uri,,,,,biotoolsschema
Tool Download Version,Version information (typically a version number) of the software applicable to this download.,,,,,,string,,,,,,biotoolsschema
Tool Entity Name,Name of the entities that may be credited,,,,,,string_list,,,,,,
Tool Entity Role,"Role performed by entity that is credited, e.g. “Developer”","Developer, Maintainer, Provider, Documentor, Contributor, Support, Primary Contact",,True,CDE:2201713,,string_list,,,,,,biotoolsschema
Tool Entity Type,"Types of entities that may be credited, e.g. ‘Person’.","Person, Project, Division, Institute, Research Consortium, Funding Agency",,True,,,string_list,,,,,,biotoolsschema
Tool Function Note,"Concise comment about this function, if not apparent from the software description and EDAM annotations.",,,,,,string,,,,,,biotoolsschema
Tool Homepage,"Homepage of the software, or some URL that best serves this purpose.",,,True,,,string,uri,,,,,biotoolsschema
Tool Input Data,"Type of primary input data. Multiple values permitted, comma separated.","Accession, Alignment, Biological Model ID, Biological Model Name, Cell Line Name, Cell Migration Track Image, Cell Type Identifier, Cell Type Name, Cell Type Ontology ID, Chromosome Name, Chromosome Report, Clustered Expression Profiles, Codon Number, Comparison Matrix, Compound Identifier, Compound Name, Concentration, Count Matrix, DNA Sequence, Data Index, Data Reference, Database Search Results, Drug Identifier, Drug Name, Drug Report, Electronic Health Record, Enzyme Kinetics Data, Experimental Measurement, Expression Data, GO-Term Enrichment Data, Gene Expression Matrix, Gene Expression Profile, Gene ID, Gene ID (NCBI), Gene Identifier, Gene Name, Gene Report, Gene Symbol, Gene Tree, Genetic Map, Genotype/Phenotype Report, Heat Map, Hidden Markov Model, Hierarchy, Histogram, Identifier, Image, Image Metadata, Kinetic Model, MRI Image, Map, Map Data, Mass Spectrometry Data, Mass Spectrum, Mathematical Model, Matrix, Molecular Property, Molecular Simulation Data, Molecule Identifier, Molecule Name, Morphology Parameter, Mutation ID, Not Applicable, Nucleic Acid Identifier, Nucleic Acid Report, Nucleic Acid Sequence, Ontology, Ontology Concept Data, Ontology Data, Ontology Identifier, Ontology Mapping, Ontology Name, Ontology Term, Organism Identifier, Organism Name, Over-Represesntation Data, P-Value, Pair Sequence Alignment, Pathway Or Network, Pathway Or Network Report, Pathway Overrepresentation Data, Peptide Identification, Peptide Property, Phenotype Name, Phylogenetic Data, Phylogenetic Tree, Plain Text, Plot, Position Weight Matrix, Position-Specific Scoring Matrix, Protein Contact Map, Protein Identifier, Protein Interaction Data, Protein Name, Protein Property, Protein Report, Protein Sequence, Protein Structure Report, Quality Control Report, RNA Sequence, Raw Image, Reaction Data, RefSeq Accession, Report, Resource Metadata, Sample Annotation, Sample ID, Score, Sequence, Sequence Alignment, Sequence Attribute, Sequence Cluster, Sequence Composition Plot, Sequence Composition Report, Sequence Coordinates, Sequence Features, Sequence Image, Sequence Motif, Sequence Position, Sequence Property, Sequence Range, Sequence Record, Sequence Report, Sequence Search Results, Sequence Set, Sequence Signature Data, Sequence Similarity, Sequence Similarity Score, Sequence Variations, Simulation, Small Molecule Report, Spectrum, Statistical Estimate Score, Strain Identifier, Strain Name, Structure, Structure Report, Taxonomy, Text Data, Text Mining Report, Topology Data, Training Material, Trajectory Data, Transcription Factor Identifier, Transcription Factor Name, Vmax, dbSNP ID",,True,,,string_list,,,,,,biotoolsschema
Tool Input Format,"Allowed format(s) of the input data. Multiple values permitted, comma separated.","Alignment Format, Alignment Format (Pair Only), Alignment Format (Text), Annotated Text Format, Antimony, BAM, BCF, BED, BLAST Results, BNGL, Binary Format, Biological Model Format, Biological Pathway Or Network Format, CSV, Chemical Data Format, Cytoband Format, Cytoscape Input File Format, DCC, DCD, DSV, Database Hits (Sequence) Format , Docker Image Format, Document Format, Dot-Bracket Format, FASTA, FASTQ, FASTQ-Illumina, FCS, GCT/Res Format, GFF, GFF3, GIF, GML, GTF, Gene Annotation Format, Gene Cluster Format, Gene Expression Report Format, Genotype And Phenotype Annotation Format, Graph Format, H5AD, HDF, HDF5, HTML, Hidden Markov Model Format, Image Format, Individual Genetic Data Format, JPG, JSON, LSM, MAF, MAGE-ML, MAGE-TAB, MAT, MATLAB Script, MSF, Map Format, Mass Spectrometry Data Format, Matrix Format, NIFTI Format, Nexus Format, Not Applicable, NumPy Format, OME-TIFF, Ontology Format, PDF, PNG, PS, PSF, Phylip Format, Phylip Format Variant, Phylogenetic Tree Format, Phylogenetic Tree Format (Text), Protein Interaction Format, Python Script, R File Format, R Script, RDS, RNA Annotation Format, RNA Secondary Structure Format, RPKM, Raw Sequence Format, SAM, SBML, SQLite Format, SVG, Scores Format, Sequence Annotation Track Format, Sequence Cluster Format, Sequence Cluster Format (Protein), Sequence Feature Annotation Format, Sequence Feature Table Format, Sequence Feature Table Format (Text), Sequence Profile Format, Sequence Range Format, Sequence Record Format, Sequence Trace Format, Sequence Variation Annotation Format, TIFF, TSV, TXT, Tertiary Structure Format, Textual Format, Topology Format, Trajectory Format, VCF, Workflow Format, XML, YAML, bedgraph, bigWig, cel, imzML Metadata File, mzML, nii, pkl, sif, xls, xlsx, PDB, HED, MRC, Unspecified",,True,,,string_list,,,,,,biotoolsschema
Tool Language,"Name of programming language the software source code was written in. Multiple values permitted, comma separated.","AWK, ActionScript, Ada, AppleScript, Assembly Language, Bash, C, C#, C++, COBOL, CSS, CWL, ColdFusion, D, Delphi, Dockerfile, Dylan, Eiffel, Elm, Forth, Fortran, Go, Groovy, HTML, Haskell, Icarus, JSP, Java, JavaScript, Julia, LabVIEW, Lisp, Lua, MATLAB, MLXTRAN, Maple, Mathematica, NMTRAN, Netlogo, Nextflow, Ocaml, OpenEdge ABL, Other, PHP, Pascal, Perl, PostScript, PowerShell, Prolog, PyMOL, Python, R, REXX, Racket, Ruby, SAS, SQL, Scala, Scheme, Shell, TeX, Turing, VHDL, Verilog, Visual Basic, WDL, XAML",,,,,string_list,,,,,,biotoolsschema
Tool Link Note,Comment about the link.,,,,,,string,,,,,,biotoolsschema
Tool Link Type,"The type of data, information or system that is obtained when the link is resolved. Multiple values permitted, comma separated.","Discussion Forum, Galaxy Service, Helpdesk, Issue Tracker, Mailing list, Mirror, Other, Repository, Service, Social Media, Software Catalogue, Technical Monitoring",,,,,string_list,,,,,,biotoolsschema
Tool Link Url,A link of some relevance to the software (URL).,,,,,,string,uri,,,,,biotoolsschema
Tool Name,Canonical tool name provided by the tool developer or service provider.,,,True,,,string,,,,,,biotoolsschema
Tool Operating System,"The operating system supported by a downloadable software package. Multiple values permitted, comma separated.","Linux, Mac, Windows",,,,,string_list,,,,,,biotoolsschema
