Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Accession,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Alignment,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Biological Model ID,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Biological Model Name,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Cell Line Name,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Cell Migration Track Image,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Cell Type Identifier,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Cell Type Name,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Cell Type Ontology ID,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Chromosome Name,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Chromosome Report,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Clustered Expression Profiles,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Codon Number,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Comparison Matrix,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Compound Identifier,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Compound Name,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Concentration,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Count Matrix,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
DNA Sequence,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Data Index,,,,FALSE,,,,EDAM,,,,,,
Data Reference,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Database Search Results,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Drug Identifier,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Drug Name,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Drug Report,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Electronic Health Record,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Enzyme Kinetics Data,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Experimental Measurement,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Expression Data,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
GO-Term Enrichment Data,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Expression Matrix,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Expression Profile,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene ID,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene ID (NCBI),,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Identifier,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Name,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Report,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Symbol,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Tree,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Genetic Map,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Genotype/Phenotype Report,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Heat Map,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Hidden Markov Model,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Hierarchy,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Histogram,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Identifier,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
Image,,,,FALSE,,,,EDAM,,,,,,Added by Brynn 06/30/2022
