Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
API Documentation,"Documentation describing the tool's application programming interface (API), including available endpoints/functions and how to use them.",,,FALSE,,Tool Documentation Type,,EDAM,,,schema:APIReference,https://schema.org/APIReference,,
Citation Instructions,Documentation describing how the tool should be cited in publications.,,,FALSE,,Tool Documentation Type,,EDAM,,,EDAM:data_0970,http://edamontology.org/data_0970,,
Code of Conduct,Documentation describing expected behavior and community standards for contributors and users of the tool.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Command-Line Options,Documentation describing the tool's command-line arguments and flags.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Contributions Policy,Documentation describing how external contributors can propose changes or additions to the tool.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
FAQ,Frequently Asked Questions (and answers) about the software.,,,FALSE,,Tool Documentation Type,,EDAM,,,schema:FAQPage,https://schema.org/FAQPage,,
General,General documentation.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Governance,Information about the software governance model.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Installation Instructions,Documentation describing how to install or set up the tool.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Other,Some other type of documentation not listed in biotoolsSchema.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Quick Start Guide,Documentation providing a brief introduction to get a new user running the tool quickly.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Release Notes,"Documentation describing changes, fixes, and new features introduced in each version of the tool.",,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Terms of Use,Documentation describing the legal terms and conditions governing use of the tool.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
Training Material,"Documentation or resources designed to teach users how to use the tool, such as tutorials or workshop materials.",,,FALSE,,Tool Documentation Type,,EDAM,,,EDAM:data_3669,http://edamontology.org/data_3669,,
User Manual,Comprehensive documentation describing how to use all of the tool's features.,,,FALSE,,Tool Documentation Type,,EDAM,,,,,,
