Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
API Specification,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Binaries,Binaries for the software; compiled code that allow a program to be installed without having to compile the source code.,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Biological Data,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Command-Line Specification,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Container File,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Downloads Page,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Icon,Icon of the software.,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Other,Other type of download for software - the default if a more specific type is not available.,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Screenshot,Screenshot of the software.,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Software Package,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Source Code,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Test Data,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Test Script,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Tool Wrapper (CWL),,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Tool Wrapper (Galaxy),,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Tool Wrapper (Taverna),,,,FALSE,,Tool Download Type,,EDAM,,,,,,
Tool wrapper (Other),,,,FALSE,,Tool Download Type,,EDAM,,,,,,
VM Image,,,,FALSE,,Tool Download Type,,EDAM,,,,,,
