Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Alignment Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Alignment Format (Pair Only),,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Alignment Format (Text),,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Annotated Text Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Antimony,,,,FALSE,,Tool Format,,,,,,https://antimony.sourceforge.net/antimony-technical-spec.html,,Added by Brynn on 11/29/2022 for the tool: Tellurium
BAM,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
BCF,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
BED,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
BLAST Results,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
BNGL,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Binary Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Biological Model Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Biological Pathway Or Network Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
CSV,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Chemical Data Format,,,,FALSE,,Tool Format,,EDAM,,,,,,
Cytoband Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Cytoscape Input File Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
DCD,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
DSV,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
"Database Hits (Sequence) Format ",,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Docker Image Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Document Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Dot-Bracket Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
FASTA,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
FASTQ,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
FASTQ-Illumina,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
FCS,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
GCT/Res Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
GFF,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
GFF3,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
GIF,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
GML,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
GTF,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Annotation Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Cluster Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Gene Expression Report Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Genotype And Phenotype Annotation Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Graph Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
H5AD,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
HDF,,,,FALSE,,Tool Format,,EDAM,,,,,,
HDF5,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
HTML,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Hidden Markov Model Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Image Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
Individual Genetic Data Format,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
JPG,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
JSON,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
LSM,,,,FALSE,,Tool Format,,EDAM,,,,,,
MAF,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
MAGE-ML,,,,FALSE,,Tool Format,,EDAM,,,,,,Added by Brynn 06/30/2022
