Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
AAL,Attribution Assurance License,,,FALSE,,Tool License,,EDAM,,,SPDX:AAL,https://spdx.org/licenses/AAL.html,,
ADSL,Amazon Digital Services License,,,FALSE,,Tool License,,EDAM,,,SPDX:ADSL,https://spdx.org/licenses/ADSL.html,,
AFL-1.1,Academic Free License v1.1,,,FALSE,,Tool License,,EDAM,,,SPDX:AFL-1.1,https://spdx.org/licenses/AFL-1.1.html,,
AFL-1.2,Academic Free License v1.2,,,FALSE,,Tool License,,EDAM,,,SPDX:AFL-1.2,https://spdx.org/licenses/AFL-1.2.html,,
AFL-2.0,Academic Free License v2.0,,,FALSE,,Tool License,,EDAM,,,SPDX:AFL-2.0,https://spdx.org/licenses/AFL-2.0.html,,
AFL-2.1,Academic Free License v2.1,,,FALSE,,Tool License,,EDAM,,,SPDX:AFL-2.1,https://spdx.org/licenses/AFL-2.1.html,,
AFL-3.0,Academic Free License v3.0,,,FALSE,,Tool License,,EDAM,,,SPDX:AFL-3.0,https://spdx.org/licenses/AFL-3.0.html,,
AGPL-1.0,Affero General Public License v1.0,,,FALSE,,Tool License,,EDAM,,,SPDX:AGPL-1.0,https://spdx.org/licenses/AGPL-1.0.html,,
AGPL-3.0,GNU Affero General Public License v3.0,,,FALSE,,Tool License,,EDAM,,,SPDX:AGPL-3.0,https://spdx.org/licenses/AGPL-3.0.html,,
AMDPLPA,AMD's plpa_map.c License,,,FALSE,,Tool License,,EDAM,,,SPDX:AMDPLPA,https://spdx.org/licenses/AMDPLPA.html,,
AML,Apple MIT License,,,FALSE,,Tool License,,EDAM,,,SPDX:AML,https://spdx.org/licenses/AML.html,,
AMPAS,Academy of Motion Picture Arts and Sciences BSD,,,FALSE,,Tool License,,EDAM,,,SPDX:AMPAS,https://spdx.org/licenses/AMPAS.html,,
ANTLR-PD,ANTLR Software Rights Notice,,,FALSE,,Tool License,,EDAM,,,SPDX:ANTLR-PD,https://spdx.org/licenses/ANTLR-PD.html,,
APAFML,Adobe Postscript AFM License,,,FALSE,,Tool License,,EDAM,,,SPDX:APAFML,https://spdx.org/licenses/APAFML.html,,
APL-1.0,Adaptive Public License 1.0,,,FALSE,,Tool License,,EDAM,,,SPDX:APL-1.0,https://spdx.org/licenses/APL-1.0.html,,
APSL-1.0,Apple Public Source License 1.0,,,FALSE,,Tool License,,EDAM,,,SPDX:APSL-1.0,https://spdx.org/licenses/APSL-1.0.html,,
APSL-1.1,Apple Public Source License 1.1,,,FALSE,,Tool License,,EDAM,,,SPDX:APSL-1.1,https://spdx.org/licenses/APSL-1.1.html,,
APSL-1.2,Apple Public Source License 1.2,,,FALSE,,Tool License,,EDAM,,,SPDX:APSL-1.2,https://spdx.org/licenses/APSL-1.2.html,,
APSL-2.0,Apple Public Source License 2.0,,,FALSE,,Tool License,,EDAM,,,SPDX:APSL-2.0,https://spdx.org/licenses/APSL-2.0.html,,
