Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Aggregation,Combine multiple files or data items into a single file or object.,,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_3436,http://edamontology.org/operation_3436,,
Allele Frequency Distribution Analysis,"Analyse a phylogenetic tree to identify allele frequency distribution and change that is subject to evolutionary pressures (natural selection, genetic drift, mutation and gene flow). Identify type of natural selection (such as stabilizing, balancing or disruptive).",,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_0554,http://edamontology.org/operation_0554,,
Analysis,Apply analytical methods to existing data of a specific type.,,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_2945,http://edamontology.org/operation_2945,,
Annotation,Annotate an entity (typically a biological or biomedical database entity) with terms from a controlled vocabulary.,,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_0226,http://edamontology.org/operation_0226,,
Box-Whisker Plot Plotting,"Generate a box plot, i.e. a depiction of groups of numerical data through their quartiles.",,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_2943,http://edamontology.org/operation_2943,,
Calculation,"Mathematical determination of the value of something, typically a properly of a molecule.",,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_3438,http://edamontology.org/operation_3438,,
Cell Migration Analysis,"Analysis of cell migration images in order to study cell migration, typically in order to study the processes that play a role in the disease progression.",,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_3446,http://edamontology.org/operation_3446,,
Cell Modelling,,,,FALSE,,Tool Operation,,EDAM,,,,,,
Cell Number Quantification,,,,FALSE,,Tool Operation,,EDAM,,,,,,
Cell Type Enrichment Analysis,,,,FALSE,,Tool Operation,,EDAM,,,,,,
Classification,"Assign molecular sequences, structures or other biological data to a specific group or category according to qualities it shares with that group or category.",,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_2990,http://edamontology.org/operation_2990,,
Clustering,Group together some data entities on the basis of similarities such that entities in the same group (cluster) are more similar to each other than to those in other groups (clusters).,,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_3432,http://edamontology.org/operation_3432,,
Clustering Profile Plotting,"Visualise clustered quantitative data as set of different profiles, where each profile is plotted versus different entities or samples on the X-axis.",,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_2935,http://edamontology.org/operation_2935,,
Comparison,Compare two or more things to identify similarities.,,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_2424,http://edamontology.org/operation_2424,,
Conversion,Convert a data set from one form to another.,,,FALSE,,Tool Operation,,EDAM,,,EDAM:operation_3434,http://edamontology.org/operation_3434,,
