Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Allergy Clinical Immunology and Immunotherapeutics,"Health issues related to the immune system and their prevention, diagnosis and management.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3400,http://edamontology.org/topic_3400,,Added by Brynn 06/30/2022
Biochemistry,Chemical substances and physico-chemical processes and that occur within living organisms.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3292,http://edamontology.org/topic_3292,,Added by Brynn 06/30/2022
Bioimaging,The use of imaging techniques to understand biology.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3383,http://edamontology.org/topic_3383,,Added by Brynn 06/30/2022
Bioinformatics,"The archival, curation, processing and analysis of complex biological data.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_0091,http://edamontology.org/topic_0091,,Added by Brynn 06/30/2022
Biological Databases,"The general handling of data stored in digital archives such as databases, databanks, web portals, and other data resources.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3489,http://edamontology.org/topic_3489,,Added by Brynn 06/30/2022
Biology,"The study of life and living organisms, including their morphology, biochemistry, physiology, development, evolution, and so on.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3070,http://edamontology.org/topic_3070,,Added by Brynn 06/30/2022
Biomedical Science,Topic concerning biological science that is (typically) performed in the context of medicine.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3344,http://edamontology.org/topic_3344,,Added by Brynn 06/30/2022
Biomolecular Simulation,The study and simulation of molecular conformations using a computational model and computer simulations.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3892,http://edamontology.org/topic_3892,,Added by Brynn 06/30/2022
Biophysics,The use of physics to study biological system.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3306,http://edamontology.org/topic_3306,,Added by Brynn 06/30/2022
Biotechnology,"The exploitation of biological process, structure and function for industrial purposes, for example the genetic manipulation of microorganisms for the antibody production.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3297,http://edamontology.org/topic_3297,,Added by Brynn 06/30/2022
Biotherapeutics,The process of formulating and administering a pharmaceutical compound to achieve a therapeutic effect.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3374,http://edamontology.org/topic_3374,,Added by Brynn 06/30/2022
Cell Biology,"Cells, such as key genes and proteins involved in the cell cycle.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_2229,http://edamontology.org/topic_2229,,Added by Brynn 06/30/2022
Cell Culture Collection,"Collections of cells grown under laboratory conditions, specifically, cells from multi-cellular eukaryotes and especially animal cells.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3340,http://edamontology.org/topic_3340,,Added by Brynn 06/30/2022
Chemistry,"The composition and properties of matter, reactions, and the use of reactions to create new substances.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3314,http://edamontology.org/topic_3314,,Added by Brynn 06/30/2022
Chip-Seq,The analysis of protein-DNA interactions where chromatin immunoprecipitation (ChIP) is used in combination with massively parallel DNA sequencing to identify the binding sites of DNA-associated proteins.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3169,http://edamontology.org/topic_3169,,Added by Brynn 06/30/2022
Chromosome Conformation Capture,Molecular biology methods used to analyze the spatial organization of chromatin in a cell.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3940,http://edamontology.org/topic_3940,,Added by Brynn 06/30/2022
Comparative Genomics,"The study (typically comparison) of the sequence, structure or function of multiple genomes.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_0797,http://edamontology.org/topic_0797,,
Compound Libraries and Screening,"Collections of chemicals, typically for use in high-throughput screening experiments.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3343,http://edamontology.org/topic_3343,,Added by Brynn 06/30/2022
Computational Biology,"The development and application of theory, analytical methods, mathematical models and computational simulation of biological systems.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3307,http://edamontology.org/topic_3307,,Added by Brynn 06/30/2022
Computer Science,The theory and practical use of computer systems.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3316,http://edamontology.org/topic_3316,,Added by Brynn 06/30/2022
Cytogenetics,"The branch of genetics concerned with the relationships between chromosomes and cellular behaviour, especially during mitosis and meiosis.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3959,http://edamontology.org/topic_3959,,Added by Brynn 06/30/2022
Cytometry,Cytometry is the measurement of the characteristics of cells.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3934,http://edamontology.org/topic_3934,,Added by Brynn 06/30/2022
DNA,"DNA sequences and structure, including processes such as methylation and replication.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_0654,http://edamontology.org/topic_0654,,Added by Brynn 06/30/2022
DNA Mutation,DNA mutation.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_2533,http://edamontology.org/topic_2533,,Added by Brynn 06/30/2022
DNA Packaging,"DNA-histone complexes (chromatin), organisation of chromatin into nucleosomes and packaging into higher-order structures.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3176,http://edamontology.org/topic_3176,,Added by Brynn 06/30/2022
DNA Polymorphism,DNA polymorphism.,,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_2885,http://edamontology.org/topic_2885,,Added by Brynn 06/30/2022
Data Architecture Analysis and Design,"The development of policies, models and standards that cover data acquisition, storage and integration, such that it can be put to use, typically through a process of systematically applying statistical and / or logical techniques to describe, illustrate, summarise or evaluate data.",,,FALSE,,Tool Topic,,EDAM,,,EDAM:topic_3365,http://edamontology.org/topic_3365,,Added by Brynn 06/30/2022
