Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Bioinformatics Portal,,,,FALSE,,Tool Type,,EDAM,,,,,,
Command-Line Tool,,,,FALSE,,Tool Type,,EDAM,,,SWO:0000030,http://www.ebi.ac.uk/swo/SWO_0000030,,
Database Portal,,,,FALSE,,Tool Type,,EDAM,,,,,,
Desktop Application,,,,FALSE,,Tool Type,,EDAM,,,,,,
Library,A collection of components that are used to construct other tools. bio.tools scope includes component libraries performing high-level bioinformatics functions but excludes lower-level programming libraries.,,,FALSE,,Tool Type,,EDAM,,,IAO:0000593,http://purl.obolibrary.org/obo/IAO_0000593,,
Notebook,,,,FALSE,,Tool Type,,EDAM,,,,,,
Ontology,"A collection of information about concepts, including terms, synonyms, descriptions etc.",,,FALSE,,Tool Type,,EDAM,,,EDAM:data_0582,http://edamontology.org/data_0582,,
Other,,,,FALSE,,Tool Type,,EDAM,,,,,,
Plug-In,,,,FALSE,,Tool Type,,EDAM,,,SWO:0000083,http://www.ebi.ac.uk/swo/SWO_0000083,,
SPARQL Endpoint,,,,FALSE,,Tool Type,,EDAM,,,EDAM:format_3790,http://edamontology.org/format_3790,,
Script,"A tool written for some run-time environment (e.g. other applications or an OS shell) that automates the execution of tasks. Often a small program written in a general-purpose languages (e.g. Perl, Python) or some domain-specific languages (e.g. sed).",,,FALSE,,Tool Type,,EDAM,,,NCIT:C96999,http://purl.obolibrary.org/obo/NCIT_C96999,C96999,
Serialized Model,,,,FALSE,,Tool Type,,EDAM,,,,,,
Suite,"A collection of tools which are bundled together into a convenient toolkit. Such tools typically share related functionality, a common user interface and can exchange data conveniently. This includes collections of stand-alone command-line tools, or Web applications within a common portal.",,,FALSE,,Tool Type,,EDAM,,,,,,
Web API,An application programming interface (API) consisting of endpoints to a request-response message system accessible via HTTP. Includes everything from simple data-access URLs to RESTful APIs.,,,FALSE,,Tool Type,,EDAM,,,NCIT:C75301,http://purl.obolibrary.org/obo/NCIT_C75301,C75301,
Web Application,,,,FALSE,,Tool Type,,EDAM,,,NCIT:C172305,http://purl.obolibrary.org/obo/NCIT_C172305,C172305,
Web Service,,,,FALSE,,Tool Type,,EDAM,,,NCIT:C45412,http://purl.obolibrary.org/obo/NCIT_C45412,C45412,
Workbench,"An application or suite with a graphical user interface, providing an integrated environment for data analysis which includes or may be extended with any number of functions or tools. Includes workflow systems, platforms, frameworks etc.",,,FALSE,,Tool Type,,EDAM,,,,,,
Workflow,"A set of tools which have been composed together into a pipeline of some sort. Such tools are (typically) standalone, but are composed for convenience, for instance for batch execution via some workflow engine or script.",,,FALSE,,Tool Type,,EDAM,,,NCIT:C42753,http://purl.obolibrary.org/obo/NCIT_C42753,C42753,
