Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
10x Visium Spatial Transcriptomics - RNA-seq Level 1,Files contain raw RNA-seq data associated with spot/slide data.,,"Component,VisiumRNALevel1_id,Filename,Run ID,File Format,Biospecimen Key,File Alias,Read Indicator,Spatial Read1,Spatial Read2,Spatial Library Construction Method,Library Preparation Days from Index,Sequencing Library Construction Days from Index,End Bias,Reverse Transcription Primer,Sequencing Platform,Capture Area,Protocol Link,Slide Version,Slide ID,Image Re-orientation,Permeabilization Time,RIN,DV200",FALSE,,,File View,,
VisiumRNALevel1_id,"Unique row identifier, used as a primary key for record updates",,,TRUE,,visium,,,unique
Run ID,A unique identifier for this individual run (typically associated with a single slide) of the spatial transcriptomic processing workflow.,,,TRUE,,visium,,HTAN,unique
Capture Area,"Area (or Capture Area) - One of the either four or two active regions where tissue can be placed on a Visium slide. Each area is intended to contain only one tissue sample. Slide areas are named consecutively from top to bottom: A1, B1, C1, D1 for Visium slides with 6.5 mm Capture Area and A, B for CytAssist slides with 11 mm Capture Area. Both CytAssist slides with 6.5 mm Capture Area and Gateway Slides contain only two slide areas, A1 and D1.","A, B, C, D, A1, B1, C1, D1",,FALSE,,visium,,HTAN,str
Slide Version,Version of imaging slide used. Slide version is critical for the analysis of the sequencing data as different slides have different capture area layouts.,"V1, V2, V3, V4",,TRUE,,visium,,HTAN,str
10x Visium Spatial Transcriptomics - RNA-seq Level 2,Alignment workflows downstream of Spatial Transcriptomics RNA-seq Level 1.,,"Component,VisiumRNALevel2_id,Filename,File Format,Checksum,VisiumRNALevel1 Key,File Alias,UMI Tag,Whitelist Spatial Barcode File Link,Spatial Barcode Tag,Applied Hard Trimming,Workflow Version,Workflow Link,Genomic Reference,Genomic Reference URL,Genome Annotation URL,Biospecimen Key,Run ID,Capture Area",FALSE,,visium,10x Visium Spatial Transcriptomics - RNA-seq Level 1,HTAN,
VisiumRNALevel2_id,"Unique row identifier, used as a primary key for record updates",,,TRUE,,visium,,MC2,unique
10x Visium Spatial Transcriptomics - RNA-seq Level 3,Processed data files based on Spatial Transcriptomics RNA-seq Level 2 and Spatial Transcriptomics Auxiliary files.,,"Component,VisiumRNALevel3_id,Filename,File Format,Biospecimen Key,VisiumRNALevel2 Key,VisiumAux Key,File Alias,Run ID,Visium File Type,Workflow Version,Workflow Link,Capture Area,Spots under tissue,Mean Reads per Spatial Spot,Median Number Genes per Spatial Spot,Sequencing Saturation,Proportion Reads Mapped,Proportion Reads Mapped to Transcriptome,Median UMI Counts per Spot",FALSE,,visium,10x Visium Spatial Transcriptomics - RNA-seq Level 2,HTAN,
VisiumRNALevel3_id,"Unique row identifier, used as a primary key for record updates",,,TRUE,,visium,,MC2,unique
10x Visium Spatial Transcriptomics - RNA-seq Level 4,Processed data files based on Spatial Transcriptomics RNA-seq Level 3.,,"Component,VisiumRNALevel4_id,Filename,File Format,Biospecimen Key,VisiumRNALevel3 Key,Run ID,Workflow Version,Workflow Link,Visium Workflow Type,Visium Workflow Parameters Description",FALSE,,visium,10x Visium Spatial Transcriptomics - RNA-seq Level 3,HTAN,
VisiumRNALevel4_id,"Unique row identifier, used as a primary key for record updates",,,TRUE,,visium,,MC2,unique
10x Visium Spatial Transcriptomics - Auxiliary Files,"Auxiliary data associated with spot/slide analysis (aligned Images, quality control files, etc)  from Spatial Transcriptomics.",,"Component,Filename,File Format,Biospecimen Key,VisiumAux_id,VisiumRNALevel1 Key,VisiumRNALevel2 Key,VisiumRNALevel3 Key,VisiumRNALevel4 Key,Run ID,Visium File Type,Slide ID,Capture Area,Workflow Version,Workflow Link",FALSE,,visium,"10x Visium Spatial Transcriptomics - RNA-seq Level 1, 10x Visium Spatial Transcriptomics - RNA-seq Level 2, 10x Visium Spatial Transcriptomics - RNA-seq Level 3, 10x Visium Spatial Transcriptomics - RNA-seq Level 4",HTAN,
VisiumAux_id,"Unique row identifier, used as a primary key for record updates",,,TRUE,,visium,,MC2,unique
Visium File Type,The file type generated for the visium experiment.,"reference png, reference jpg, json scale factors, probe dataset csv, qc result html, filtered mex, unfiltered mex, tissue_positions, barcodes, features, fiducial image png, fiducial image jpg, detected image png, detected jpg, high res image, low res image, json scale factors, probe dataset csv",,TRUE,,visium,,HTAN,str
Visium Workflow Type,Generic name for the workflow used to analyze the visium data set.,,,TRUE,,visium,,HTAN,str
Visium Workflow Parameters Description,Parameters used to run the workflow.,,,TRUE,,visium,,HTAN,str
