Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
10x Visium RNA Level 1,Files contain raw RNA-seq data associated with spot/slide data.,,"10xVisiumRNALevel1_id, Filename, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, File Assay, File Species, File Url, File Format, File Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, Visium Run ID, NGS Read Indicator, Visium Spatial Read1, Visium Spatial Read2, Visium Spatial Library Construction Method, NGS Library Preparation Days from Index, NGS Sequencing Library Construction Days from Index, NGS RNA End Bias, NGS RNA Reverse Transcription Primer, NGS Sequencing Platform, Visium Capture Area, Image Protocol Link, Visium Slide Version, Visium Slide ID, Visium Image Re-orientation, Visium Permeabilization Time, NGS RNA RIN, NGS RNA DV200",,,,,,,,,,
10xVisiumRNALevel1_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
Visium Run ID,A unique identifier for this individual run (typically associated with a single slide) of the spatial transcriptomic processing workflow.,,,True,,,string,,,,,,HTAN
Visium Capture Area,"Area (or Capture Area) - One of the either four or two active regions where tissue can be placed on a Visium slide. Each area is intended to contain only one tissue sample. Slide areas are named consecutively from top to bottom: A1, B1, C1, D1 for Visium slides with 6.5 mm Capture Area and A, B for CytAssist slides with 11 mm Capture Area. Both CytAssist slides with 6.5 mm Capture Area and Gateway Slides contain only two slide areas, A1 and D1.","A, B, C, D, A1, B1, C1, D1",,,,,string,,,,,,HTAN
Visium Slide Version,Version of imaging slide used. Slide version is critical for the analysis of the sequencing data as different slides have different capture area layouts.,"V1, V2, V3, V4",,True,,,string,,,,,,HTAN
Visium Spatial Read1,Read 1 content description,"cDNA, Spatial Barcode and UMI",,True,,,string,,,,,,HTAN
Visium Spatial Read2,Read 2 content description,"cDNA, Spatial Barcode and UMI",,True,,,string,,,,,,HTAN
Visium Spatial Library Construction Method,Process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors [OBI_0000711],"Smart-seq2, Smart-SeqV4, 10xV1.0, 10xV1.1, 10xV2, 10xV3, 10xV3.1, Drop-seq, inDropsV2, inDropsV3, TruDrop, Nextera XT",,True,,,string,,,,,,HTAN
Visium Slide ID,"For Visium, it is the unique identifier printed on the label of each Visium slide. The serial number starts with V followed by a number which can range between one through five and ends with a dash and a three digit number, such as 123. For CosMx, this refers to the loaded Flow Cell ID. For Xenium, this ID indicates the slide orientation, as it matches the relative location of the ID on the physical Xenium slide.",,,True,,,string,,,,,,HTAN
Visium Image Re-orientation,"To ensure good fiducial alignment and tissue spots detection, it is important to correct for this shift in orientation.","True, False",,,,,boolean,,,,,,HTAN
Visium Permeabilization Time,Fixed and stained tissue sections are permeabilized for different times. Each Capture Area captures polyadenylated mRNA from the attached tissue section. Measure is provided in minutes.,,,,,,number,,,,,,HTAN
