attribute,n_permissible_values,existing_cde,top_cde_public_id,top_cde_version,top_score,top_cde_long_name,top_pv_match_ratio,n_candidates,existing_vs_top
Biospecimen Type Category,11,11253427,6813527,1,83.85,Category,,10,disagree
Biospecimen Type,61,,2759630,1,79.98,Additional Radiation Therapy Post Recurrent Disease Type,0.016,10,
Biospecimen Species,29,,2787346,1,79.98,Diagnosis Biopsy Histology Finding Basis Laboratory Finding Result,0.034,10,
Biospecimen Sex,9,7572817,2681095,2.1,79.98,Body Fluid or Substance Specimen Collection Type,0.111,10,disagree
Biospecimen Disease Type,46,,2759161,1,79.98,Adjuvant Radiation Therapy Type,0.022,10,
Biospecimen Tumor Grade,12,11325685,3197612,1,79.98,Participant Personal Medical History Cancer Indicator,0.083,10,disagree
Biospecimen Composition,21,12922545,2757957,1,79.98,Neoadjuvant Radiation Therapy Type,0.048,10,disagree
Biospecimen Tumor Status,5,14688604,5595675,1,79.98,Bone Normal Present Indicator,0.2,10,disagree
Biospecimen Preservation Method,20,8028962,2309,5,79.98,Assessment Method Type,0.05,10,disagree
Biospecimen Anatomic Site,342,14156279,2182297,1,84.98,Disease Site,0.058,10,disagree
Biospecimen Site of Resection or Biopsy,614,0000006,,,,,,0,
Biospecimen Site of Origin,614,0000004,,,,,,0,
Biospecimen Therapeutic Agent,4475,13579886,,,,,,0,
Biospecimen Tumor Morphology,1152,0000003,,,,,,0,
Biospecimen Fixative,24,0065078,,,,,,0,
Biospecimen Embedding Medium,10,8037927,2003953,3,79.98,Specimen Collection Period Type,0.1,10,disagree
Biospecimen Acquisition Method,20,,6626651,2,80,Biospecimen Acquisition Method Type,1.0,10,
Biospecimen Pathology,9,,2787346,1,79.98,Diagnosis Biopsy Histology Finding Basis Laboratory Finding Result,0.111,10,
Biospecimen Last Known Disease Status,11,,15726820,1,79.98,Intervention or Procedure Status HL7 FHIR Terminology Code,0.091,10,
Biospecimen Known Metastasis Sites,342,,2856440,3,79.99,Tumor Location Anatomic Site Name,0.532,10,
Biospecimen Primary Site,246,,7058670,1,83.55,Diagnosis,,10,
Biospecimen Primary Diagnosis,800,14714127,7058670,1,83.55,Diagnosis,,10,disagree
Biospecimen Treatment Response,11,13383448,13383448,1,80,Disease Response Assessment Outcome,1.0,10,agree
Biospecimen Incidence Type,6,0002002,7385445,1,83.55,Disease Status,,10,disagree
Biospecimen Treatment Type,30,14737565,3333730,2,79.98,Treatment Assignment Type,0.033,10,disagree
Consortium Funding Agency,1,,16002760,1,58.9,Study Administration Funding Agency Organization Name,,2,
accessType,4,,2740401,1,63.9,Protocol Deviation Severity Type,,10,
countryOfOrigin,249,,6227555,2,79.98,Hereditary Gene Panel Code,0.004,10,
funder,1,,,,,,,0,
license,11,,14902606,1,63.55,Data File Dataset License Type,,1,
measurementTechnique,382,,2182879,1,79.98,Not Obtained Indicator,0.003,10,
species,29,,2182879,1,79.98,Not Obtained Indicator,0.069,10,
Dataset Assay,382,,5473,14,79.98,Biomarker Name,0.01,10,
Dataset Species,29,,6951303,1,79.98,Data Collection Species Type,0.034,10,
Dataset Tumor Type,186,,6407343,1,79.98,Malignant Neoplasm Anatomic Type,0.005,10,
Dataset Tissue,114,,7003892,1,83.55,Tissue Type,,10,
Dataset File Formats,81,,11416926,2,79.98,Data File Format Type,0.37,10,
Dataset Grant Number,155,,2183360,2,63.9,Laboratory Test Result Numeric Value,,10,
Resource Topic,37,,7348004,1,79.98,Protocol Deviations Domain Eligibility Determination Source,0.027,10,
