CDE Public ID,Version,CRDC Name,CRDC Domain,VD Type,Example,Subset Level,Coding Instruction,Instructions,CRDC Definition,CDE Long Name,Registration Status,Workflow Status,Owned By,Used By
88,5.1,ECOG Performance Status Score,Clinical Observation,Enumerated,,,,,"A score for a functional scale designed to assess disease progression and its affect on the daily living abilities of the patient that was developed by Eastern Cooperative Oncology Group (ECOG, now ECOG-ACRIN).",Performance Status ECOG Scale,Standard,RELEASED,CTEP,"AECC,AMC,Alliance,BBRB,BOLD,CCR,CCTG,CITN,COG,CRDC,DCI,DCP,ECOG-ACRIN,GDC,MCL,NCI Standards,NCIP,NHLBI,NRG,OCG,OHSU Knight,PBTC,SPOREs,Training"
2003853,4.2,Karnofsky Performance Status Score,Clinical Observation,Enumerated,,,,,A score from the Karnofsky Performance Status representing the functional capabilities or the daily living abilities of a person.,Karnofsky Performance Status Score,Standard,RELEASED,CCR,"ABTC,AECC,Alliance,BOLD,CIP,CITN,COG,CRDC,CTEP,DCI,DCP,ECOG-ACRIN,GDC,LCC,NCI Standards,NCIP,NHLBI,NRG,OCG,OHSU Knight,PBTC,Pediatric Cancer,SPOREs"
2006410,3,Body Mass Index,Clinical Observation,Non-enumerated,,,,,A calculated numerical quantity that represents a body’s weight to height ratio.,Person Body Mass Index Value,Standard,RELEASED,SPOREs,"AMC,Alliance,CCR,CIP,CITN,CRDC,CTEP,DCP,GDC,MCL,NCI Standards,NCIP,NIDA,NRG,OCG,OHSU Knight,PBTC,PhenX,Training,iCaRe2"
2006475,2,Person Genealogy Suffix Code,Administrative,Enumerated,,,,,Text term to represent an individual's position in a family lineage or pedigree.,Individual Genealogy Suffix Code,Standard,RELEASED,SPOREs,"AECC,CCR,CITN,CRDC,LCC,NCI Standards,NCIP,OHSU Knight,PBTC"
2179589,2,Person Given/First Name,Administrative,Non-enumerated,,,,,A word or group of words indicating a person's first (personal or given) name; the name that precedes the surname. Synonym = Given Name.,Person Given/First Name,Standard,RELEASED,DCP,"AECC,CCR,CITN,COG,CRDC,DCI,LCC,NCI Standards,NCIP,NHLBI,NICHD,NIH,OHSU Knight,PBTC,SWOG,TEST,Training,caCORE,iCaRe2"
2179590,2,Person Middle Name,Administrative,Non-enumerated,,,,,A means of identifying an individual by using a word or group of words indicating a person's middle name.,Person Middle Name,Standard,RELEASED,DCP,"AECC,Alliance,CCR,CITN,COG,CRDC,DCI,LCC,NCI Standards,NCIP,NIH,OHSU Knight,PBTC,SWOG,TEST,Training,iCaRe2"
2179591,2,Person Family/Last Name,Administrative,Non-enumerated,,,,,"A means of identifying an individual by using a word or group of words indicating a person's last (family) name. Synonym = Last Name, Surname.",Person Family/Last Name,Standard,RELEASED,DCP,"ABTC,AECC,CCR,CITN,COG,CRDC,DCI,LCC,NCI Standards,NCIP,NHLBI,NICHD,NIH,OHSU Knight,PBTC,SWOG,TEST,Training,USC/NCCC,caCORE,iCaRe2"
2179643,4,Body Height,Clinical Observation,Non-enumerated,,,,,The vertical measurement or distance from the base to the top of a body.,Person Height Value,Standard,RELEASED,NCI Standards,"ABTC,AECC,AMC,Alliance,BBRB,CCTG,CIP,CITN,COG,CRDC,CTEP,DCI,DCP,ECOG-ACRIN,GDC,LCC,MCL,NCIP,NIDA,NRDS,NRG,OHSU Knight,PBTC,Pediatric Cancer,PhenX,Theradex,Training,iCaRe2"
2179689,4,Body Weight,Clinical Observation,Non-enumerated,,,,,The number that describes the vertical force exerted by the mass of a body as a result of gravity.,Person Weight Value,Standard,RELEASED,NCI Standards,"ABTC,AECC,AMC,Alliance,BBRB,CCR,CCTG,CIP,CITN,COG,CRDC,CTEP,DCI,DCP,ECOG-ACRIN,GDC,LCC,MCL,NCIP,NIDA,NRDS,NRG,OHSU Knight,ONC,PBTC,Pediatric Cancer,PhenX,TEST,Theradex,Training,iCaRe2"
2192199,1,Subject Race,Demographics,Enumerated,"Asian, African American, White, Unknown",,,,"An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",Race Category Text,Standard,RELEASED,NCIP,"AECC,Alliance,BBRB,CCR,CCTG,CIP,CITN,COG,CRDC,CTEP,DCI,DCP,ECOG-ACRIN,GDC,HTAN,LCC,MCL,NCI Standards,NICHD,NRDS,NRG,OCCPR,OCG,OHSU Knight,ONC,PBTC,Pediatric Cancer,SPOREs,TEST,Training,iCaRe2"
