attribute,n_permissible_values,existing_cde,top_cde_public_id,top_cde_version,top_score,top_cde_long_name,top_pv_match_ratio,n_candidates,existing_vs_top
Biospecimen_id,0,15100774,,,,,,0,
Biospecimen Type Category,11,11253427,6813527,1,83.85,Category,,10,disagree
Biospecimen Type,61,,2759630,1,79.98,Additional Radiation Therapy Post Recurrent Disease Type,0.016,10,
Biospecimen Species,29,,2787346,1,79.98,Diagnosis Biopsy Histology Finding Basis Laboratory Finding Result,0.034,10,
Biospecimen Sex,9,7572817,2681095,2.1,79.98,Body Fluid or Substance Specimen Collection Type,0.111,10,disagree
Biospecimen Age at Collection,0,14473376,,,,,,0,
Biospecimen Age at Collection Unit,0,,2193236,2,83.9,Time,,10,
Biospecimen Disease Type,46,,2759161,1,79.98,Adjuvant Radiation Therapy Type,0.022,10,
Biospecimen Tumor Subtype,0,,2003837,3,83.85,Result,,10,
Biospecimen Tumor Grade,12,11325685,3197612,1,79.98,Participant Personal Medical History Cancer Indicator,0.083,10,disagree
Biospecimen Composition,21,12922545,2757957,1,79.98,Neoadjuvant Radiation Therapy Type,0.048,10,disagree
Biospecimen Tumor Status,5,14688604,5595675,1,79.98,Bone Normal Present Indicator,0.2,10,disagree
Biospecimen Preservation Method,20,8028962,2309,5,79.98,Assessment Method Type,0.05,10,disagree
Biospecimen Anatomic Site,342,14156279,2182297,1,84.98,Disease Site,0.058,10,disagree
Biospecimen Site of Resection or Biopsy,614,0000006,,,,,,0,
Biospecimen Site of Origin,614,0000004,,,,,,0,
Biospecimen Timepoint Type,0,,2193236,2,83.9,Time,,10,
Biospecimen Collection Site,0,,2004169,3,63.9,Lesion Anatomic Site Description,,10,
Biospecimen Therapeutic Agent,4475,13579886,,,,,,0,
Biospecimen Tumor Morphology,1152,0000003,,,,,,0,
Biospecimen Fixative,24,0065078,,,,,,0,
Biospecimen Embedding Medium,10,8037927,2003953,3,79.98,Specimen Collection Period Type,0.1,10,disagree
Biospecimen Acquisition Method,20,,6626651,2,80,Biospecimen Acquisition Method Type,1.0,10,
Biospecimen Description,0,14688604,,,,,,0,
Biospecimen Pathology,9,,2787346,1,79.98,Diagnosis Biopsy Histology Finding Basis Laboratory Finding Result,0.111,10,
Biospecimen BioSample Identifier,0,,,,,,,0,
Parent Biospecimen Key,0,,,,,,,0,
Biospecimen Stain,0,8120269,,,,,,0,
Biospecimen Timepoint Offset,0,,2193236,2,83.9,Time,,10,
Biospecimen Last Known Disease Status,11,,15726820,1,79.98,Intervention or Procedure Status HL7 FHIR Terminology Code,0.091,10,
Biospecimen Known Metastasis Sites,342,,2856440,3,79.99,Tumor Location Anatomic Site Name,0.532,10,
