"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"Acinar Cell Neoplasms","A neoplasm with acinar cell differentiation, arising from the secretory cells of exocrine glands such as the pancreas, salivary glands, or lungs.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C4197","http://purl.obolibrary.org/obo/NCIT_C4197","C4197",""
"Adenomas and Adenocarcinomas","A neoplasm arising from or exhibiting the features of glandular epithelium; encompasses a broad morphological category including adenomas, adenocarcinomas, and related glandular tumors.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C7132","http://purl.obolibrary.org/obo/NCIT_C7132","C7132",""
"Adnexal and Skin Appendage Neoplasms","A neoplasm arising from skin appendage structures, including hair follicles, sebaceous glands, and eccrine or apocrine sweat glands.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C212119","http://purl.obolibrary.org/obo/NCIT_C212119","C212119",""
"Basal Cell Neoplasms","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Blood Vessel Tumors","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Complex Mixed and Stromal Neoplasms","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Cystic; Mucinous and Serous Neoplasms","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Ductal and Lobular Neoplasms","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Epithelial Neoplasms; NOS","A neoplasm derived from epithelial cells, the cells lining the surfaces and cavities of the body.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3709","http://purl.obolibrary.org/obo/NCIT_C3709","C3709",""
"Fibroepithelial Neoplasms","A benign, borderline, or malignant neoplasm characterized by the presence of an epithelial and a fibrous component. Representative examples are fibroadenoma and phyllodes tumor.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3743","http://purl.obolibrary.org/obo/NCIT_C3743","C3743",""
"Fibromatous Neoplasms","A poorly circumscribed neoplasm arising from the soft tissues, characterized by the presence of spindle-shaped fibroblasts and an infiltrative growth pattern.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3042","http://purl.obolibrary.org/obo/NCIT_C3042","C3042",""
"Germ Cell Neoplasms","A neoplasm arising from germ cells, the primordial cells that give rise to eggs and sperm.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3708","http://purl.obolibrary.org/obo/NCIT_C3708","C3708",""
"Giant Cell Tumors","A neoplasm characterized by the presence of multinucleated giant cells intermixed with mononuclear stromal cells.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3055","http://purl.obolibrary.org/obo/NCIT_C3055","C3055",""
"Gliomas","A neoplasm arising from glial cells of the central nervous system, including astrocytes, oligodendrocytes, and ependymal cells.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3059","http://purl.obolibrary.org/obo/NCIT_C3059","C3059",""
"Granular Cell Tumors and Alveolar Soft Part Sarcomas","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Immunoproliferative Diseases","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Leukemias","A malignant clonal hematologic disorder involving hematopoietic stem cells, characterized by the presence of primitive or atypical myeloid or lymphoid cells in the bone marrow and blood.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3161","http://purl.obolibrary.org/obo/NCIT_C3161","C3161",""
"Lipomatous Neoplasms","A neoplasm arising from adipose (fat) tissue, ranging from benign lipomas to malignant liposarcomas.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C4248","http://purl.obolibrary.org/obo/NCIT_C4248","C4248",""
"Lymphatic Vessel Tumors","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Mast Cell Neoplasm","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Meningiomas","A usually benign neoplasm arising from the meninges, the membranes that cover and protect the brain and spinal cord.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3230","http://purl.obolibrary.org/obo/NCIT_C3230","C3230",""
"Mesothelial Neoplasms","A neoplasm arising from mesothelial cells, which line the body cavities including the pleura, peritoneum, and pericardium.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3786","http://purl.obolibrary.org/obo/NCIT_C3786","C3786",""
"Miscellaneous Bone Tumors","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Miscellaneous Tumors","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Mucoepidermoid Neoplasms","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Myelodysplastic Syndromes","A heterogeneous group of clonal hematopoietic stem cell disorders characterized by ineffective blood cell production, peripheral blood cytopenias, and risk of progression to acute myeloid leukemia.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3247","http://purl.obolibrary.org/obo/NCIT_C3247","C3247",""
"Myomatous Neoplasms","A neoplasm arising from or exhibiting differentiation toward muscle tissue, encompassing tumors of smooth, skeletal, or cardiac muscle.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C214799","http://purl.obolibrary.org/obo/NCIT_C214799","C214799",""
"Myxomatous Neoplasms","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Neoplasms; NOS","An abnormal tissue growth resulting from uncontrolled and progressive cell proliferation; may be benign or malignant.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C3262","http://purl.obolibrary.org/obo/NCIT_C3262","C3262",""
"Nerve Sheath Tumors","A benign or malignant neoplasm arising from the perineural cells in the sheaths surrounding the nerves. Representative examples include neurofibroma, schwannoma, and malignant peripheral nerve sheath tumor.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C4972","http://purl.obolibrary.org/obo/NCIT_C4972","C4972",""
"Neuroepitheliomatous Neoplasms","","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","","","",""
"Nevi and Melanomas","A neoplasm arising from melanocytes, the pigment-producing cells found primarily in the skin and eye; includes both benign lesions (nevi) and malignant melanomas.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C7058","http://purl.obolibrary.org/obo/NCIT_C7058","C7058",""
"Not Applicable","Determination of a value is not relevant in the current context.","","","FALSE","","Disease Type","","CDS v5.0.4/Diagnosis-disease_type","","","NCIT:C48660","http://purl.obolibrary.org/obo/NCIT_C48660","C48660",""
