Attribute,Example
DataDSP,NaN
DSP Dataset Name,DSP_Dataset_Lung_Research_2021
DSP Dataset Alias,Syn123456
DSP Dataset Assay,3D Bioprinting
DSP Dataset Species,Asian Elephant
DSP Dataset Tumor Type,Lung Carcinoma
DSP Dataset Tissue,Brain
DSP Dataset File Formats,CSV
DataDSP_id,DataDSP_56789
DSP Dataset Level,Level 3
DSP Number of Files,25
DSP Number of Samples,50000
DSP Number of Participants,12
DSP Storage Size,16 GB
DSP Planned Upload Date,2022-12-01
DSP Planned Release Date,01/25/2023
DSP Dataset Grant Number,CA209971
DSP Dataset Url,https://www.example.com/dataset/dsp1234
DSP Data Use Codes,"If a research institution is using certain data for health and medicine-based studies, then their DSP Data Use Codes could be ""HMB""."
DSP IRB Form,"DSP IRB Form V2.0, 2020"
DSP Dataset Description,A quick description of your data sharing plan.
DSP Dataset Destination,"/home/user/datasets/dsp_output"
DSP Dataset Metadata,"https://example.com/metadata-template-1"
